Location Type,Incident Zip,City,Borough,Latitude,Longitude,num_calls
Club/Bar/Restaurant,10308,STATEN ISLAND,STATEN ISLAND,40.54409609,-74.14115469,40
Store/Commercial,10012,NEW YORK,MANHATTAN,40.72979348,-73.99884181,18
Residential Building/House,10308,STATEN ISLAND,STATEN ISLAND,40.54420877,-74.14103979,21
House of Worship,10034,NEW YORK,MANHATTAN,40.86637626,-73.92825812,160
Park/Playground,11220,BROOKLYN,BROOKLYN,40.63520686,-74.02028461,17
Store/Commercial,10029,NEW YORK,MANHATTAN,40.79186116,-73.94539159,211
Street/Sidewalk,10002,NEW YORK,MANHATTAN,40.71879472,-73.98901165,41
Club/Bar/Restaurant,10034,NEW YORK,MANHATTAN,40.86954934,-73.91634837,271
Store/Commercial,11373,ELMHURST,QUEENS,40.73924884,-73.88445696,15
Residential Building/House,10013,NEW YORK,MANHATTAN,40.72278878,-74.00459619,43
House of Worship,10003,NEW YORK,MANHATTAN,40.72581057,-73.99199058,42
Park/Playground,11419,SOUTH RICHMOND HILL,QUEENS,40.68935074,-73.81613264,46
Store/Commercial,10128,NEW YORK,MANHATTAN,40.77933383,-73.95066995,16
Street/Sidewalk,10009,NEW YORK,MANHATTAN,40.72349367,-73.98825325,1175
Club/Bar/Restaurant,10464,BRONX,BRONX,40.83767128,-73.78290106,11
Store/Commercial,10009,NEW YORK,MANHATTAN,40.72320273,-73.98827856,24
Residential Building/House,10040,NEW YORK,MANHATTAN,40.86437703,-73.92653575,458
House of Worship,11235,BROOKLYN,BROOKLYN,40.58413031,-73.93277355,58
Park/Playground,11223,BROOKLYN,BROOKLYN,40.59013616,-73.97389624,38
Store/Commercial,11218,BROOKLYN,BROOKLYN,40.64269519,-73.96977506,128
Street/Sidewalk,11203,BROOKLYN,BROOKLYN,40.6368429,-73.93075319,28
Club/Bar/Restaurant,11234,BROOKLYN,BROOKLYN,40.58488412,-73.92664159,45
Store/Commercial,10011,NEW YORK,MANHATTAN,40.74252091,-74.00051966,23
Residential Building/House,11372,JACKSON HEIGHTS,QUEENS,40.74736716,-73.88655054,42
House of Worship,10307,STATEN ISLAND,STATEN ISLAND,40.51478878,-74.24842226,72
Park/Playground,10305,STATEN ISLAND,STATEN ISLAND,40.59034214,-74.06662421,42
Store/Commercial,11211,BROOKLYN,BROOKLYN,40.7137782,-73.95746753,42
Street/Sidewalk,10033,NEW YORK,MANHATTAN,40.84711145,-73.93818244,127
Club/Bar/Restaurant,10009,NEW YORK,MANHATTAN,40.72953107,-73.9804155,52
Store/Commercial,11225,BROOKLYN,BROOKLYN,40.66196937,-73.96163481,16
Residential Building/House,10036,NEW YORK,MANHATTAN,40.76081394,-73.98718902,19
House of Worship,11207,BROOKLYN,BROOKLYN,40.66919734,-73.89645248,24
Park/Playground,11422,ROSEDALE,QUEENS,40.66479938,-73.73491026,39
Store/Commercial,10464,BRONX,BRONX,40.85114171,-73.78846705,57
Street/Sidewalk,11237,BROOKLYN,BROOKLYN,40.70383481,-73.93097214,43
Club/Bar/Restaurant,10036,NEW YORK,MANHATTAN,40.7612619,-73.9942713,43
Store/Commercial,11103,ASTORIA,QUEENS,40.76373637,-73.91464744,31
Residential Building/House,10453,BRONX,BRONX,40.85706015,-73.90468411,23
House of Worship,10469,BRONX,BRONX,40.87575492,-73.85086586,21
Park/Playground,11230,BROOKLYN,BROOKLYN,40.61336789,-73.96302421,63
Store/Commercial,11362,LITTLE NECK,QUEENS,40.77090216,-73.7352894,85
Street/Sidewalk,11231,BROOKLYN,BROOKLYN,40.67775273,-73.99811085,30
Club/Bar/Restaurant,11434,JAMAICA,QUEENS,40.68187917,-73.7660803,152
Store/Commercial,11238,BROOKLYN,BROOKLYN,40.68272042,-73.96329223,231
Residential Building/House,11418,RICHMOND HILL,QUEENS,40.69957784,-73.83235864,79
House of Worship,11214,BROOKLYN,BROOKLYN,40.5995808,-73.98996033,62
Park/Playground,10016,NEW YORK,MANHATTAN,40.7475205,-73.9824024,40
Store/Commercial,11218,BROOKLYN,BROOKLYN,40.63559076,-73.97774084,37
Street/Sidewalk,11435,JAMAICA,QUEENS,40.69822499,-73.80633492,106
Club/Bar/Restaurant,11221,BROOKLYN,BROOKLYN,40.69489819,-73.93155477,14
Store/Commercial,10013,NEW YORK,MANHATTAN,40.72271742,-74.00444827,14
Residential Building/House,10016,NEW YORK,MANHATTAN,40.74860668,-73.97810369,70
House of Worship,10034,NEW YORK,MANHATTAN,40.86210781,-73.91928608,29
Park/Playground,11216,BROOKLYN,BROOKLYN,40.6716626,-73.95091902,42
Store/Commercial,11238,BROOKLYN,BROOKLYN,40.68142275,-73.95710239,302
Street/Sidewalk,10304,STATEN ISLAND,STATEN ISLAND,40.62863721,-74.08003528,90
Club/Bar/Restaurant,10034,NEW YORK,MANHATTAN,40.86813967,-73.93041833,14
Store/Commercial,11234,BROOKLYN,BROOKLYN,40.61655033,-73.93020153,89
Residential Building/House,11208,BROOKLYN,BROOKLYN,40.68642817,-73.86869412,18
House of Worship,10019,NEW YORK,MANHATTAN,40.76449114,-73.98165065,44
Park/Playground,11205,BROOKLYN,BROOKLYN,40.69403903,-73.96078695,40
Store/Commercial,10003,NEW YORK,MANHATTAN,40.73250431,-73.9848383,80
Street/Sidewalk,10027,NEW YORK,MANHATTAN,40.81986557,-73.95852336,118
Club/Bar/Restaurant,10014,NEW YORK,MANHATTAN,40.73249706,-74.00183297,217
Store/Commercial,10475,BRONX,BRONX,40.88228797,-73.82769936,10
Residential Building/House,10017,NEW YORK,MANHATTAN,40.75524246,-73.97327568,16
House of Worship,11215,BROOKLYN,BROOKLYN,40.65972716,-73.98791847,93
Park/Playground,11693,FAR ROCKAWAY,QUEENS,40.58485012,-73.81903413,106
Store/Commercial,11207,BROOKLYN,BROOKLYN,40.69161916,-73.90573918,117
Street/Sidewalk,10036,NEW YORK,MANHATTAN,40.76035852,-73.98928635,42
Club/Bar/Restaurant,11211,BROOKLYN,BROOKLYN,40.71696661,-73.95482851,36
Store/Commercial,10002,NEW YORK,MANHATTAN,40.72306557,-73.98907949,98
Residential Building/House,10029,NEW YORK,MANHATTAN,40.79585513,-73.93552852,148
House of Worship,10013,NEW YORK,MANHATTAN,40.71957476,-73.99950577,10
Park/Playground,11209,BROOKLYN,BROOKLYN,40.62084753,-74.02677137,25
Store/Commercial,10009,NEW YORK,MANHATTAN,40.72483716,-73.97832075,127
Street/Sidewalk,10456,BRONX,BRONX,40.8384769,-73.91310235,65
Club/Bar/Restaurant,11106,ASTORIA,QUEENS,40.75618226,-73.93008771,18
Store/Commercial,11222,BROOKLYN,BROOKLYN,40.72979695,-73.95838458,93
Residential Building/House,11209,BROOKLYN,BROOKLYN,40.62075694,-74.02683617,143
House of Worship,11106,ASTORIA,QUEENS,40.76331469,-73.92819586,267
Park/Playground,11249,BROOKLYN,BROOKLYN,40.71795041,-73.95792662,64
Store/Commercial,11249,BROOKLYN,BROOKLYN,40.7111325,-73.96654457,70
Street/Sidewalk,11377,WOODSIDE,QUEENS,40.75256615,-73.90524869,45
Club/Bar/Restaurant,10011,NEW YORK,MANHATTAN,40.74294904,-73.99646701,85
Store/Commercial,10003,NEW YORK,MANHATTAN,40.73234787,-73.98493936,41
Residential Building/House,10013,NEW YORK,MANHATTAN,40.71992609,-74.0002886,55
House of Worship,11420,SOUTH OZONE PARK,QUEENS,40.67596498,-73.81819204,95
Park/Playground,11218,BROOKLYN,BROOKLYN,40.63597511,-73.97814065,183
Store/Commercial,11369,EAST ELMHURST,QUEENS,40.76349768,-73.87813729,59
Street/Sidewalk,11211,BROOKLYN,BROOKLYN,40.71175719,-73.94278797,27
Club/Bar/Restaurant,10010,NEW YORK,MANHATTAN,40.74091496,-73.99208259,40
Store/Commercial,10018,NEW YORK,MANHATTAN,40.75007365,-73.98636819,30
Residential Building/House,10028,NEW YORK,MANHATTAN,40.77756088,-73.95102149,22
House of Worship,10002,NEW YORK,MANHATTAN,40.72114459,-73.99370114,87
Park/Playground,10018,NEW YORK,MANHATTAN,40.75612923,-73.994297,16
Store/Commercial,10019,NEW YORK,MANHATTAN,40.76579016,-73.98728192,60
Street/Sidewalk,10016,NEW YORK,MANHATTAN,40.74934479,-73.9769377,48
Club/Bar/Restaurant,10014,NEW YORK,MANHATTAN,40.7327221,-74.00327627,31
Store/Commercial,11222,BROOKLYN,BROOKLYN,40.73029727,-73.95326078,16
Residential Building/House,10028,NEW YORK,MANHATTAN,40.77680945,-73.95253489,11
House of Worship,11211,BROOKLYN,BROOKLYN,40.71102508,-73.95029487,40
Park/Playground,10034,NEW YORK,MANHATTAN,40.86720969,-73.92253385,141
Store/Commercial,10034,NEW YORK,MANHATTAN,40.86769186,-73.92121362,16
Street/Sidewalk,11211,BROOKLYN,BROOKLYN,40.7174035,-73.95605473,38
Club/Bar/Restaurant,10009,NEW YORK,MANHATTAN,40.72591124,-73.9836492,32
Store/Commercial,10307,STATEN ISLAND,STATEN ISLAND,40.51770136,-74.24054207,36
Residential Building/House,10001,NEW YORK,MANHATTAN,40.74928842,-73.98454214,63
House of Worship,11209,BROOKLYN,BROOKLYN,40.62343625,-74.02509733,57
Park/Playground,10012,NEW YORK,MANHATTAN,40.72707618,-74.000184,40
Store/Commercial,11205,BROOKLYN,BROOKLYN,40.68958479,-73.97198946,16
Street/Sidewalk,10011,NEW YORK,MANHATTAN,40.73915309,-74.00112587,76
Club/Bar/Restaurant,10016,NEW YORK,MANHATTAN,40.74195612,-73.97792905,13
Store/Commercial,10038,NEW YORK,MANHATTAN,40.70607594,-74.0042019,17
Residential Building/House,11211,BROOKLYN,BROOKLYN,40.71286133,-73.95712905,34
House of Worship,10016,NEW YORK,MANHATTAN,40.743596,-73.98600864,40
Park/Playground,11208,BROOKLYN,BROOKLYN,40.67462684,-73.87725059,19
Store/Commercial,10034,NEW YORK,MANHATTAN,40.86941776,-73.91657993,28
Street/Sidewalk,11217,BROOKLYN,BROOKLYN,40.68035203,-73.97476588,114
Club/Bar/Restaurant,10034,NEW YORK,MANHATTAN,40.86385196,-73.92523119,194
Store/Commercial,11105,ASTORIA,QUEENS,40.77596729,-73.91512641,82
Residential Building/House,11106,ASTORIA,QUEENS,40.76227854,-73.92601303,87
House of Worship,10012,NEW YORK,MANHATTAN,40.72670835,-74.00275643,14
Park/Playground,11223,BROOKLYN,BROOKLYN,40.59916024,-73.96126399,45
Store/Commercial,10009,NEW YORK,MANHATTAN,40.73029441,-73.98223737,66
Street/Sidewalk,10022,NEW YORK,MANHATTAN,40.75686026,-73.96709552,44
Club/Bar/Restaurant,10011,NEW YORK,MANHATTAN,40.73913663,-74.00108618,49
Store/Commercial,10002,NEW YORK,MANHATTAN,40.71522127,-73.99171409,184
Residential Building/House,11205,BROOKLYN,BROOKLYN,40.69332462,-73.96710163,108
House of Worship,11226,BROOKLYN,BROOKLYN,40.6395296,-73.95128856,287
Park/Playground,11218,BROOKLYN,BROOKLYN,40.63555239,-73.97802189,55
Store/Commercial,10030,NEW YORK,MANHATTAN,40.81726755,-73.9422565,120
Street/Sidewalk,10009,NEW YORK,MANHATTAN,40.72894882,-73.97836993,62
Club/Bar/Restaurant,11205,BROOKLYN,BROOKLYN,40.69355175,-73.96476476,16
Store/Commercial,10014,NEW YORK,MANHATTAN,40.73434974,-74.00300933,301
Residential Building/House,10024,NEW YORK,MANHATTAN,40.78536042,-73.97298193,186
House of Worship,11205,BROOKLYN,BROOKLYN,40.69313307,-73.96920047,75
Park/Playground,10003,NEW YORK,MANHATTAN,40.7296035,-73.98823774,183
Store/Commercial,10464,BRONX,BRONX,40.85256252,-73.78944935,12
Street/Sidewalk,11209,BROOKLYN,BROOKLYN,40.63283667,-74.02723013,70
Club/Bar/Restaurant,11106,ASTORIA,QUEENS,40.76115165,-73.92364989,42
Store/Commercial,10034,NEW YORK,MANHATTAN,40.8658736,-73.92765489,126
Residential Building/House,11355,FLUSHING,QUEENS,40.75548196,-73.81543034,16
House of Worship,11414,HOWARD BEACH,QUEENS,40.64998168,-73.83758618,399
Park/Playground,11209,BROOKLYN,BROOKLYN,40.62204852,-74.03163848,15
Store/Commercial,11205,BROOKLYN,BROOKLYN,40.69357091,-73.96460248,36
Street/Sidewalk,10038,NEW YORK,MANHATTAN,40.70586461,-74.00376907,20
Club/Bar/Restaurant,11416,OZONE PARK,QUEENS,40.68555676,-73.84149102,32
Store/Commercial,11226,BROOKLYN,BROOKLYN,40.64595269,-73.95197214,42
Residential Building/House,10463,BRONX,BRONX,40.87959654,-73.90430103,17
House of Worship,10036,NEW YORK,MANHATTAN,40.7602542,-73.98904452,11
Park/Playground,11226,BROOKLYN,BROOKLYN,40.63980683,-73.95130637,26
Store/Commercial,11215,BROOKLYN,BROOKLYN,40.66071028,-73.99409972,30
Street/Sidewalk,11249,BROOKLYN,BROOKLYN,40.72100987,-73.95542824,102
Club/Bar/Restaurant,11101,LONG ISLAND CITY,QUEENS,40.75624515,-73.92120466,129
Store/Commercial,11201,BROOKLYN,BROOKLYN,40.68689522,-73.99090992,23
Residential Building/House,11358,FLUSHING,QUEENS,40.75803956,-73.79561736,15
House of Worship,11372,JACKSON HEIGHTS,QUEENS,40.75578209,-73.883331,57
Park/Playground,10001,NEW YORK,MANHATTAN,40.75045253,-73.98729207,15
Store/Commercial,10471,BRONX,BRONX,40.88956351,-73.89903879,16
Street/Sidewalk,10022,NEW YORK,MANHATTAN,40.7581599,-73.9625937,92
Club/Bar/Restaurant,10029,NEW YORK,MANHATTAN,40.79578676,-73.94676079,11
Store/Commercial,11217,BROOKLYN,BROOKLYN,40.67915413,-73.98342993,1513
Residential Building/House,10026,NEW YORK,MANHATTAN,40.80285303,-73.95650039,91
House of Worship,10012,NEW YORK,MANHATTAN,40.72951901,-73.99981238,120
Park/Playground,10454,BRONX,BRONX,40.80746061,-73.919309,76
Store/Commercial,10003,NEW YORK,MANHATTAN,40.73321576,-73.98992216,65
Street/Sidewalk,10009,NEW YORK,MANHATTAN,40.72386918,-73.98388421,40
Club/Bar/Restaurant,10009,NEW YORK,MANHATTAN,40.72277419,-73.98517963,26
Store/Commercial,11237,BROOKLYN,BROOKLYN,40.70279083,-73.92937189,21
Residential Building/House,11215,BROOKLYN,BROOKLYN,40.67301996,-73.98651012,19
House of Worship,11209,BROOKLYN,BROOKLYN,40.62986376,-74.02845743,15
Park/Playground,11004,GLEN OAKS,QUEENS,40.7378916,-73.71046402,44
Store/Commercial,10003,NEW YORK,MANHATTAN,40.73683863,-73.98783593,24
Street/Sidewalk,11372,JACKSON HEIGHTS,QUEENS,40.74736158,-73.88645672,24
Club/Bar/Restaurant,10310,STATEN ISLAND,STATEN ISLAND,40.6301397,-74.10879366,53
Store/Commercial,11201,BROOKLYN,BROOKLYN,40.68598692,-73.99416238,11
Residential Building/House,10001,NEW YORK,MANHATTAN,40.7505438,-73.99836504,10
House of Worship,11216,BROOKLYN,BROOKLYN,40.68282211,-73.93799942,152
Park/Playground,10014,NEW YORK,MANHATTAN,40.73416286,-74.00798156,57
Store/Commercial,11215,BROOKLYN,BROOKLYN,40.66046172,-73.98033486,73
Street/Sidewalk,10016,NEW YORK,MANHATTAN,40.7440955,-73.98561878,38
Club/Bar/Restaurant,10026,NEW YORK,MANHATTAN,40.80452411,-73.95530368,12
Store/Commercial,11232,BROOKLYN,BROOKLYN,40.65162237,-74.00447957,17
Residential Building/House,11103,ASTORIA,QUEENS,40.76527581,-73.91791611,29
House of Worship,10307,STATEN ISLAND,STATEN ISLAND,40.51358865,-74.25123739,50
Park/Playground,10002,NEW YORK,MANHATTAN,40.72136411,-73.99266213,78
Store/Commercial,11433,JAMAICA,QUEENS,40.70753056,-73.78659995,388
Street/Sidewalk,10040,NEW YORK,MANHATTAN,40.85359837,-73.93061428,18
Club/Bar/Restaurant,11221,BROOKLYN,BROOKLYN,40.69940259,-73.92745325,19
Store/Commercial,10034,NEW YORK,MANHATTAN,40.86618344,-73.91893043,87
Residential Building/House,10034,NEW YORK,MANHATTAN,40.8692067,-73.9169743,30
House of Worship,11102,ASTORIA,QUEENS,40.76743782,-73.92062464,112
Park/Playground,10034,NEW YORK,MANHATTAN,40.86592029,-73.92770907,117
Store/Commercial,11211,BROOKLYN,BROOKLYN,40.71758787,-73.95731359,38
Street/Sidewalk,11205,BROOKLYN,BROOKLYN,40.69058524,-73.95831169,55
Club/Bar/Restaurant,11219,BROOKLYN,BROOKLYN,40.63367687,-74.00656803,14
Store/Commercial,11206,BROOKLYN,BROOKLYN,40.70547174,-73.94290878,68
Residential Building/House,11225,BROOKLYN,BROOKLYN,40.66820407,-73.9506476,146
House of Worship,10012,NEW YORK,MANHATTAN,40.72974957,-73.99961394,41
Park/Playground,11385,RIDGEWOOD,QUEENS,40.70342134,-73.90874124,109
Store/Commercial,10012,NEW YORK,MANHATTAN,40.72933786,-74.0010319,99
Street/Sidewalk,10002,NEW YORK,MANHATTAN,40.71892321,-73.98452032,57
Club/Bar/Restaurant,11374,REGO PARK,QUEENS,40.73211582,-73.86718968,20
Store/Commercial,11225,BROOKLYN,BROOKLYN,40.66064331,-73.96062997,162
Residential Building/House,11238,BROOKLYN,BROOKLYN,40.67904393,-73.96835251,11
House of Worship,11105,ASTORIA,QUEENS,40.77478495,-73.90877704,52
Park/Playground,11204,BROOKLYN,BROOKLYN,40.61023813,-73.98370275,22
Store/Commercial,10014,NEW YORK,MANHATTAN,40.72959583,-74.00282511,25
Street/Sidewalk,11231,BROOKLYN,BROOKLYN,40.68237476,-73.99342718,11
Club/Bar/Restaurant,10012,NEW YORK,MANHATTAN,40.7212051,-73.99670626,52
Store/Commercial,10011,NEW YORK,MANHATTAN,40.74173312,-74.00308184,91
Residential Building/House,10128,NEW YORK,MANHATTAN,40.78124208,-73.95223925,14
House of Worship,11226,BROOKLYN,BROOKLYN,40.64018175,-73.95530567,642
Park/Playground,11249,BROOKLYN,BROOKLYN,40.71976847,-73.96084757,16
Store/Commercial,11211,BROOKLYN,BROOKLYN,40.71134933,-73.95117114,13
Street/Sidewalk,11211,BROOKLYN,BROOKLYN,40.71352894,-73.95887449,17
Club/Bar/Restaurant,10009,NEW YORK,MANHATTAN,40.72630655,-73.98411452,11
Store/Commercial,10016,NEW YORK,MANHATTAN,40.74505782,-73.97860649,13
Residential Building/House,10013,NEW YORK,MANHATTAN,40.71461498,-73.99959599,74
House of Worship,11432,JAMAICA,QUEENS,40.71447021,-73.80246765,52
Park/Playground,10034,NEW YORK,MANHATTAN,40.86564533,-73.92693205,26
Store/Commercial,10002,NEW YORK,MANHATTAN,40.71823482,-73.98931116,40
Street/Sidewalk,10012,NEW YORK,MANHATTAN,40.72916768,-74.00119065,15
Club/Bar/Restaurant,10014,NEW YORK,MANHATTAN,40.74011361,-74.00596145,110
Store/Commercial,10009,NEW YORK,MANHATTAN,40.72488931,-73.97828105,88
Residential Building/House,10128,NEW YORK,MANHATTAN,40.78131764,-73.94922052,35
House of Worship,11223,BROOKLYN,BROOKLYN,40.59655143,-73.97703729,67
Park/Playground,11225,BROOKLYN,BROOKLYN,40.65778597,-73.95324671,65
Store/Commercial,11435,JAMAICA,QUEENS,40.70252976,-73.81356446,15
Street/Sidewalk,11216,BROOKLYN,BROOKLYN,40.68321658,-73.95387066,106
Club/Bar/Restaurant,11373,ELMHURST,QUEENS,40.74238268,-73.87090067,83
Store/Commercial,10014,NEW YORK,MANHATTAN,40.73941098,-74.00539123,16
Residential Building/House,10011,NEW YORK,MANHATTAN,40.74203508,-73.99834359,24
House of Worship,11231,BROOKLYN,BROOKLYN,40.68261354,-73.99323967,25
Park/Playground,10009,NEW YORK,MANHATTAN,40.72553423,-73.97780461,54
